Year,Race/Ethnicity,Attendance Rate (%) (All Students),Days Attended/Days Members (All Students),county_name,county_code,school_name,school_code
2025,African Am.,93.5,12396.0/13264.0,Caroline County,05,Denton Elementary School,0301
2025,HI/Pac.Isl.,*,*/*,Caroline County,05,Denton Elementary School,0301
2025,White,93.0,45109.0/48508.0,Caroline County,05,Denton Elementary School,0301
2025,2+,91.2,9822.5/10771.0,Caroline County,05,Denton Elementary School,0301
2025,Hispanic,92.2,6944.0/7528.0,Caroline County,05,Denton Elementary School,0301
2025,Am.Ind/AK,*,*/*,Caroline County,05,Denton Elementary School,0301
2025,Asian,94.8,2016.5/2127.0,Caroline County,05,Denton Elementary School,0301
2025,African Am.,94.4,18317.0/19403.0,Caroline County,05,Federalsburg Elementary School,0501
2025,White,91.4,16523.0/18075.0,Caroline County,05,Federalsburg Elementary School,0501
2025,2+,90.7,8132.0/8970.0,Caroline County,05,Federalsburg Elementary School,0501
2025,Hispanic,93.9,3281.0/3494.0,Caroline County,05,Federalsburg Elementary School,0501
2025,Asian,*,*/*,Caroline County,05,Federalsburg Elementary School,0501
2025,African Am.,93.9,3488.0/3714.0,Caroline County,05,Greensboro Elementary School,0201
2025,White,92.8,42355.0/45644.0,Caroline County,05,Greensboro Elementary School,0201
2025,2+,93.2,6408.5/6873.0,Caroline County,05,Greensboro Elementary School,0201
2025,Hispanic,94.2,48934.0/51943.0,Caroline County,05,Greensboro Elementary School,0201
2025,Asian,*,*/*,Caroline County,05,Greensboro Elementary School,0201
2025,African Am.,94.4,3890.5/4120.0,Caroline County,05,Preston Elementary School,0401
2025,White,93.7,34660.0/36990.0,Caroline County,05,Preston Elementary School,0401
2025,2+,92.0,3356.5/3648.0,Caroline County,05,Preston Elementary School,0401
2025,Hispanic,92.5,5259.5/5685.0,Caroline County,05,Preston Elementary School,0401
2025,Am.Ind/AK,*,*/*,Caroline County,05,Preston Elementary School,0401
2025,Asian,*,*/*,Caroline County,05,Preston Elementary School,0401
2025,African Am.,91.6,6114.0/6674.0,Caroline County,05,Ridgely Elementary School,0701
2025,White,92.7,37986.5/40972.0,Caroline County,05,Ridgely Elementary School,0701
2025,2+,88.4,2580.5/2918.0,Caroline County,05,Ridgely Elementary School,0701
2025,Hispanic,93.2,6113.5/6557.0,Caroline County,05,Ridgely Elementary School,0701
2025,Asian,*,*/*,Caroline County,05,Ridgely Elementary School,0701
2025,African Am.,92.5,14119.0/15267.0,Caroline County,05,Colonel Richardson Middle School,0802
2025,White,92.0,36231.5/39396.0,Caroline County,05,Colonel Richardson Middle School,0802
2025,2+,88.8,6592.5/7424.0,Caroline County,05,Colonel Richardson Middle School,0802
2025,Hispanic,91.6,5976.5/6523.0,Caroline County,05,Colonel Richardson Middle School,0802
2025,Am.Ind/AK,*,*/*,Caroline County,05,Colonel Richardson Middle School,0802
2025,Asian,*,*/*,Caroline County,05,Colonel Richardson Middle School,0802
2025,African Am.,90.6,14568.0/16085.0,Caroline County,05,Lockerman Middle School,0302
2025,White,90.9,74404.0/81870.0,Caroline County,05,Lockerman Middle School,0302
2025,2+,89.9,10744.0/11948.0,Caroline County,05,Lockerman Middle School,0302
2025,Hispanic,91.6,33788.5/36869.0,Caroline County,05,Lockerman Middle School,0302
2025,Am.Ind/AK,*,*/*,Caroline County,05,Lockerman Middle School,0302
2025,Asian,≥ 95.0,*/*,Caroline County,05,Lockerman Middle School,0302
2025,African Am.,92.2,21064.0/22855.0,Caroline County,05,Colonel Richardson High School,0801
2025,White,91.7,46909.5/51166.0,Caroline County,05,Colonel Richardson High School,0801
2025,2+,89.1,6843.0/7684.0,Caroline County,05,Colonel Richardson High School,0801
2025,Hispanic,88.8,7903.5/8903.0,Caroline County,05,Colonel Richardson High School,0801
2025,Am.Ind/AK,*,*/*,Caroline County,05,Colonel Richardson High School,0801
2025,Asian,94.7,2199.0/2321.0,Caroline County,05,Colonel Richardson High School,0801
2025,African Am.,90.4,22096.5/24435.0,Caroline County,05,North Caroline High School,0703
2025,White,90.7,110725.0/122091.0,Caroline County,05,North Caroline High School,0703
2025,2+,88.9,14725.5/16570.0,Caroline County,05,North Caroline High School,0703
2025,Hispanic,90.1,49682.0/55118.0,Caroline County,05,North Caroline High School,0703
2025,Am.Ind/AK,*,*/*,Caroline County,05,North Caroline High School,0703
2025,Asian,92.3,2681.0/2904.0,Caroline County,05,North Caroline High School,0703
2025,African Am.,87.6,28419.5/32441.0,Dorchester County,09,Choptank Elementary School,0716
2025,White,92.6,2260.5/2441.0,Dorchester County,09,Choptank Elementary School,0716
2025,2+,87.3,2762.5/3166.0,Dorchester County,09,Choptank Elementary School,0716
2025,Hispanic,89.3,6425.0/7191.0,Dorchester County,09,Choptank Elementary School,0716
2025,Am.Ind/AK,*,*/*,Dorchester County,09,Choptank Elementary School,0716
2025,African Am.,92.1,17045.0/18514.0,Dorchester County,09,Hurlock Elementary School,1503
2025,HI/Pac.Isl.,*,*/*,Dorchester County,09,Hurlock Elementary School,1503
2025,White,91.9,18215.5/19823.0,Dorchester County,09,Hurlock Elementary School,1503
2025,2+,89.5,4291.5/4794.0,Dorchester County,09,Hurlock Elementary School,1503
2025,Hispanic,93.2,5367.5/5760.0,Dorchester County,09,Hurlock Elementary School,1503
2025,Asian,*,*/*,Dorchester County,09,Hurlock Elementary School,1503
2025,African Am.,93.0,20570.5/22122.0,Dorchester County,09,Maple Elementary School,0711
2025,White,91.5,10836.5/11845.0,Dorchester County,09,Maple Elementary School,0711
2025,2+,91.3,3977.5/4358.0,Dorchester County,09,Maple Elementary School,0711
2025,Hispanic,94.6,20465.0/21625.0,Dorchester County,09,Maple Elementary School,0711
2025,Am.Ind/AK,*,*/*,Dorchester County,09,Maple Elementary School,0711
2025,Asian,*,*/*,Dorchester County,09,Maple Elementary School,0711
2025,African Am.,88.1,24119.0/27370.0,Dorchester County,09,Sandy Hill Elementary School,0710
2025,White,92.2,7819.5/8478.0,Dorchester County,09,Sandy Hill Elementary School,0710
2025,2+,91.5,3293.0/3597.0,Dorchester County,09,Sandy Hill Elementary School,0710
2025,Hispanic,86.4,5400.0/6249.0,Dorchester County,09,Sandy Hill Elementary School,0710
2025,Asian,*,*/*,Dorchester County,09,Sandy Hill Elementary School,0710
2025,African Am.,93.6,2354.0/2516.0,Dorchester County,09,Vienna Elementary School,0302
2025,White,93.3,15755.5/16889.0,Dorchester County,09,Vienna Elementary School,0302
2025,2+,92.3,2094.0/2269.0,Dorchester County,09,Vienna Elementary School,0302
2025,Hispanic,94.8,2316.0/2443.0,Dorchester County,09,Vienna Elementary School,0302
2025,African Am.,93.6,2863.0/3060.0,Dorchester County,09,Warwick Elementary School,0205
